GROUP_SET,GROUP_VALUE,SEASON_YEAR,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,TEAM_ID,TEAM_ABBREVIATION
Overall,2024-25,2024-25,82,24,58,0.293,3961.0,109.0,111.0,115.2,117.3,-6.1,-6.3,0.584,1.7,17.1,0.279,0.678,0.471,0.138,0.527,0.563,99.9,98.13,81.77,8098,0.459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612755,PHI
Overall,2024-25,2024-25,82,36,46,0.439,3966.0,113.7,114.7,116.2,117.7,-2.5,-3.0,0.673,1.97,20.0,0.264,0.709,0.493,0.142,0.561,0.595,99.4,98.31,81.93,8121,0.495,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612756,PHX
Overall,2024-25,2024-25,82,36,46,0.439,3956.0,108.1,111.0,111.9,113.7,-3.8,-2.7,0.587,1.49,16.9,0.332,0.682,0.501,0.16,0.521,0.555,101.6,99.51,82.92,8192,0.473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612757,POR
Overall,2024-25,2024-25,82,40,42,0.488,3976.0,113.8,115.9,113.5,115.3,0.3,0.6,0.615,1.99,18.8,0.294,0.728,0.51,0.133,0.548,0.582,100.6,98.91,82.42,8189,0.502,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612758,SAC
Overall,2024-25,2024-25,82,34,48,0.415,3946.0,111.7,113.5,114.1,116.3,-2.4,-2.8,0.685,2.06,20.1,0.278,0.69,0.485,0.138,0.544,0.575,101.9,100.08,83.4,8231,0.493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612759,SAS
Overall,2024-25,2024-25,82,68,14,0.829,3941.0,117.3,119.2,104.7,106.6,12.6,12.7,0.602,2.29,18.9,0.281,0.704,0.496,0.116,0.56,0.593,102.6,100.9,84.09,8286,0.562,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612760,OKC
Overall,2024-25,2024-25,82,30,52,0.366,3961.0,107.6,109.6,111.7,113.6,-4.1,-4.1,0.685,1.86,19.6,0.311,0.696,0.5,0.152,0.522,0.553,102.4,100.62,83.85,8297,0.477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612761,TOR
Overall,2024-25,2024-25,82,17,65,0.207,3961.0,107.8,110.2,117.7,119.4,-9.9,-9.2,0.633,1.48,17.9,0.311,0.705,0.508,0.17,0.533,0.568,102.7,100.85,84.04,8322,0.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612762,UTA
Overall,2024-25,2024-25,82,48,34,0.585,3941.0,114.4,117.2,110.0,112.6,4.4,4.7,0.635,1.81,19.1,0.33,0.702,0.518,0.151,0.554,0.588,106.2,103.69,86.4,8513,0.524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612763,MEM
Overall,2024-25,2024-25,82,18,64,0.22,3946.0,103.9,105.8,116.2,118.0,-12.3,-12.2,0.637,1.61,17.8,0.272,0.685,0.476,0.152,0.512,0.546,103.5,101.82,84.85,8371,0.437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612764,WAS
Overall,2024-25,2024-25,82,44,38,0.537,3961.0,112.0,114.6,110.1,112.5,1.9,2.1,0.618,1.78,18.6,0.305,0.714,0.511,0.147,0.547,0.58,102.5,100.27,83.56,8268,0.509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612765,DET
Overall,2024-25,2024-25,82,19,63,0.232,3951.0,104.0,106.7,113.8,115.7,-9.9,-9.1,0.635,1.57,17.5,0.308,0.705,0.5,0.157,0.503,0.537,100.3,98.22,81.85,8079,0.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1610612766,CHA
