GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,EST_POSSESSIONS
Lineups,-1629014-1630166-1630703-1631200-1642270-,A. Simons - D. Avdija - S. Henderson - K. Murray - D. Clingan,1610612757,POR,9,3,6,0.333,34.0,108.9,107.9,107.2,110.8,1.7,-2.9,0.676,2.09,20.9,0.343,0.714,0.545,0.145,0.568,0.575,106.4,105.21,87.68,76,0.547,425,994,17719,9358,463,7646,9929,9574,6388,2430,5240,5297,7953,5989,11284,6840,7858,9195,7176,102650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-1629012-1631117-1642262-1642268-1642271-,C. Sexton - W. Kessler - C. Williams - I. Collier - K. Filipowski,1610612762,UTA,5,1,4,0.2,34.0,91.0,85.9,129.2,130.7,-38.2,-44.8,0.64,1.0,15.7,0.222,0.788,0.493,0.205,0.5,0.526,106.9,109.45,91.21,78,0.315,1130,3268,17185,10161,477,11128,12595,13162,7748,5174,9008,8527,6525,9546,13760,7932,9250,7216,11810,100650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-201569-203083-1626162-1628997-1630178-,E. Gordon - A. Drummond - K. Oubre Jr. - C. Martin - T. Maxey,1610612755,PHI,6,2,4,0.333,34.0,101.7,97.2,119.5,116.9,-17.8,-19.7,0.346,1.29,9.7,0.316,0.724,0.493,0.097,0.429,0.487,97.2,100.56,83.8,72,0.388,820,1668,17185,9358,469,10251,10953,11096,11620,4917,11800,6647,7898,9547,8833,10764,11127,11733,10560,102390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-1630551-1642259-1642267-1642273-1642358-,J. Champagnie - A. Sarr - B. Carrington - K. George - A. Johnson,1610612764,WAS,3,1,2,0.333,34.0,97.7,97.3,126.0,123.9,-28.3,-26.6,0.76,2.11,18.8,0.211,0.703,0.453,0.122,0.476,0.524,100.8,101.8,84.84,74,0.397,2326,3268,14449,9358,466,10247,11696,11781,5140,2422,6886,8714,8286,10378,9879,10057,9290,11084,10416,102550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-1628371-1629048-1630532-1641710-1641783-,J. Isaac - G. Bitadze - F. Wagner - A. Black - T. da Silva,1610612753,ORL,6,2,4,0.333,34.0,103.7,98.6,114.0,115.1,-10.3,-16.5,0.731,3.17,18.3,0.366,0.59,0.475,0.085,0.432,0.476,99.3,101.31,84.43,71,0.441,820,1668,17185,9358,470,10214,10592,10746,5826,1157,7132,5120,10901,9791,8408,10745,11281,11325,9525,102335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-1628991-1629630-1630583-1641744-1642377-,J. Jackson Jr. - J. Morant - S. Aldama - Z. Edey - J. Wells,1610612763,MEM,4,3,1,0.75,34.0,120.4,118.9,94.2,93.3,26.2,25.6,0.541,1.67,19.0,0.344,0.87,0.654,0.162,0.587,0.61,104.4,105.59,87.99,74,0.64,1573,994,5863,6106,474,6165,6586,5225,8980,3983,6753,5295,5302,3685,11714,6303,6836,9017,5452,101600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-203994-1626145-1626164-1626220-1642346-,J. Nurkić - T. Jones - D. Booker - R. O'Neale - R. Dunn,1610612756,PHX,4,1,3,0.25,34.0,93.4,89.6,115.7,111.8,-22.2,-22.2,0.76,3.17,17.1,0.268,0.806,0.46,0.078,0.397,0.416,102.7,106.64,88.87,77,0.342,1573,3268,16438,9960,460,10813,10101,11385,5140,1157,7818,7398,6003,10166,8171,11562,12330,8579,11259,103300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-203937-1628389-1629312-1629639-1630558-,K. Anderson - B. Adebayo - H. Highsmith - T. Herro - D. Mitchell,1610612748,MIA,5,3,2,0.6,34.0,159.7,156.1,106.7,103.1,53.0,52.9,0.462,3.6,19.8,0.333,0.778,0.583,0.076,0.767,0.786,90.5,93.1,77.58,66,0.713,1130,994,14449,7021,478,2357,9135,3208,11060,997,6560,5315,6592,5024,8031,2812,3015,14977,4420,100540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-202691-203915-1629023-1629655-1630230-,K. Thompson - S. Dinwiddie - P. Washington - D. Gafford - N. Marshall,1610612742,DAL,8,1,7,0.125,34.0,93.0,97.1,115.6,111.1,-22.6,-14.0,0.724,1.91,21.0,0.257,0.649,0.458,0.157,0.484,0.507,100.5,100.27,83.56,70,0.442,518,3268,17815,10290,472,10253,9941,10543,5894,3763,5223,7477,10025,10175,11602,9992,9850,11916,9514,101960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
Lineups,-1628436-1628470-1630202-1630573-1631248-,L. Kornet - T. Craig - P. Pritchard - S. Hauser - B. Scheierman,1610612738,BOS,3,2,1,0.667,34.0,86.4,88.7,81.7,81.3,4.7,7.5,0.565,1.86,14.8,0.317,0.625,0.483,0.113,0.413,0.419,90.9,89.96,74.96,62,0.579,2326,1668,5863,6411,475,10917,5448,7007,8805,3796,9434,6643,10213,9663,9670,11177,12228,15905,6499,100850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83333333333334
