GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,EST_POSSESSIONS
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,48,31,17,0.646,940.0,116.5,117.7,114.6,114.4,1.9,3.3,0.661,2.29,20.8,0.283,0.726,0.509,0.129,0.569,0.601,99.2,98.76,82.3,1939,0.528,4,2,17979,6956,1,6288,10555,7341,7617,2303,5304,7228,7891,6820,10383,6830,7051,12675,7598,2819810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.3333333333333
Lineups,-201144-203497-203944-1630162-1630183-,M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,1610612750,MIN,55,36,19,0.655,714.0,113.5,113.4,109.0,110.2,4.5,3.2,0.63,1.71,19.1,0.269,0.745,0.514,0.155,0.57,0.599,98.0,97.48,81.24,1456,0.52,1,1,17984,6952,2,6941,9881,7349,7841,3972,6746,7386,7682,6768,11576,6824,7189,13259,7763,2141160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487.5
Lineups,-202699-203501-1630595-1631105-1641709-,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,1610612765,DET,39,24,15,0.615,491.0,114.4,115.5,108.3,109.4,6.2,6.1,0.593,1.82,19.1,0.347,0.759,0.555,0.151,0.556,0.58,104.2,103.18,85.98,1054,0.537,6,8,17973,7006,3,6636,9741,7132,8500,3851,6748,5282,6843,5889,11405,7093,7735,10292,7422,1473820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.9166666666666
Lineups,-1627832-1628415-1630224-1630578-1631095-,F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,1610612745,HOU,37,25,12,0.676,450.0,105.8,109.3,104.4,104.1,1.4,5.2,0.568,1.89,16.2,0.311,0.753,0.519,0.119,0.491,0.53,101.8,100.34,83.62,948,0.511,8,7,17950,6410,4,7476,9206,7187,8800,3777,8831,6701,6860,6689,9840,9962,9190,11880,7922,1351150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.5
Lineups,-1626167-1627783-1629614-1630169-1631097-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,1610612754,IND,37,26,11,0.703,435.0,115.3,114.1,103.9,102.2,11.4,11.9,0.697,2.49,21.2,0.229,0.781,0.52,0.119,0.571,0.604,100.2,101.58,84.65,918,0.572,8,5,17941,6371,5,6897,9096,6568,6250,2177,5138,8500,6586,6675,9837,6822,6976,11194,6615,1304195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906.25
Lineups,-201942-1627734-1628368-1628370-1631099-,D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Murray,1610612758,SAC,28,13,15,0.464,431.0,114.8,114.9,114.3,114.7,0.5,0.2,0.643,2.58,20.0,0.262,0.739,0.492,0.109,0.542,0.579,103.8,103.63,86.36,934,0.505,22,54,17973,9105,6,6710,10562,7522,7711,1996,5452,7441,7719,9556,9310,7441,7770,10057,8028,1292300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897.9166666666666
Lineups,-203932-203999-1627750-1629008-1631128-,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,26,15,11,0.577,426.0,124.5,125.0,115.3,114.4,9.1,10.6,0.693,2.56,22.5,0.295,0.735,0.529,0.128,0.615,0.643,102.4,102.57,85.48,917,0.558,29,39,17941,7179,7,5449,10554,6659,6266,2002,4400,6931,7750,6513,10350,5633,5841,10711,6959,1277550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.5
Lineups,-1626167-1627783-1629614-1630169-1630174-,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,1610612754,IND,26,18,8,0.692,383.0,119.1,118.8,107.3,107.7,11.8,11.1,0.714,2.87,22.6,0.188,0.694,0.451,0.111,0.596,0.618,100.7,100.65,83.87,802,0.56,29,19,17859,6394,8,6176,9565,6631,5921,1871,4373,9307,8431,10403,9322,6134,6590,11690,6916,1148165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.9166666666667
Lineups,-201566-203999-1627750-1629008-1631128-,R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,1610612743,DEN,27,17,10,0.63,368.0,125.6,125.1,121.3,122.2,4.4,2.9,0.712,3.02,23.3,0.31,0.698,0.51,0.114,0.598,0.627,102.3,102.12,85.1,781,0.519,24,29,17923,6979,9,5042,11523,7367,6135,1179,4133,6702,8407,6814,9681,6115,6226,10914,7774,1103415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.6666666666667
Lineups,-201950-204001-1627759-1628369-1628401-,J. Holiday - K. Porziņģis - J. Brown - J. Tatum - D. White,1610612738,BOS,24,18,6,0.75,357.0,113.9,114.1,113.0,114.1,0.9,0.0,0.685,2.44,20.4,0.205,0.74,0.476,0.115,0.554,0.586,103.6,103.05,85.88,765,0.509,38,19,17719,6106,10,6894,10377,7528,6341,2192,5415,8759,7708,9750,9696,7201,7527,10329,7977,1070380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.75
Lineups,-201935-1626181-1627739-1627826-1627884-,J. Harden - N. Powell - K. Dunn - I. Zubac - D. Jones Jr.,1610612746,LAC,26,16,10,0.615,326.0,112.3,114.7,103.6,103.9,8.7,10.8,0.593,1.85,18.5,0.279,0.724,0.503,0.138,0.554,0.583,102.5,101.22,84.35,686,0.547,29,32,17923,7006,11,6718,9194,6640,8502,3812,7081,7247,7897,6854,10647,7200,7630,11379,7179,978080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.1666666666667
Lineups,-1627832-1628415-1630224-1630578-1641708-,F. VanVleet - D. Brooks - J. Green - A. Sengun - A. Thompson,1610612745,HOU,27,19,8,0.704,323.0,107.2,107.3,115.3,114.9,-8.1,-7.6,0.573,2.15,16.9,0.248,0.638,0.427,0.106,0.503,0.535,99.4,99.46,82.88,670,0.453,24,15,17859,6370,12,7711,10577,9947,8622,2397,7876,8370,10108,11227,9266,7931,8967,12311,9310,969360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.9166666666667
Lineups,-1628392-1628983-1629652-1631114-1641717-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,1610612760,OKC,29,23,6,0.793,316.0,116.9,117.0,101.5,101.0,15.4,15.9,0.589,2.71,19.2,0.252,0.717,0.495,0.098,0.555,0.586,102.6,102.81,85.67,672,0.59,19,9,17719,6077,13,6347,9062,6213,8518,1925,6733,7490,7952,9536,8845,7193,7516,10641,6319,948255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.3333333333333
Lineups,-201572-203081-203507-1627752-1641748-,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Jackson Jr.,1610612749,MIL,30,18,12,0.6,311.0,110.6,110.2,112.6,112.7,-2.1,-2.5,0.62,1.76,18.9,0.236,0.774,0.506,0.147,0.571,0.586,101.4,101.61,84.68,660,0.49,15,19,17950,7021,14,7357,10262,9546,7982,3888,6866,8420,6712,6845,11310,6819,7526,11182,8592,931765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.9166666666667
Lineups,-201935-202695-1626181-1627739-1627826-,J. Harden - K. Leonard - N. Powell - K. Dunn - I. Zubac,1610612746,LAC,18,13,5,0.722,286.0,116.0,117.3,106.3,107.9,9.8,9.5,0.655,2.33,21.2,0.24,0.793,0.524,0.127,0.583,0.61,99.8,98.54,82.12,589,0.556,78,54,17546,6327,15,6323,9567,6815,7641,2232,5139,8398,6491,6630,10348,6522,6844,12785,6981,857805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.8333333333333
Lineups,-203991-1629027-1630552-1630700-1642258-,C. Capela - T. Young - J. Johnson - D. Daniels - Z. Risacher,1610612737,ATL,26,14,12,0.538,282.0,111.9,111.5,111.9,111.7,-0.1,-0.2,0.712,2.13,21.7,0.31,0.742,0.522,0.149,0.555,0.572,106.1,106.35,88.62,624,0.502,29,45,17950,7268,16,7166,10073,9418,6134,2411,4905,6710,7696,6638,11350,7192,7908,8670,8045,844945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.5
Lineups,-201143-201950-1627759-1628369-1628401-,A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,1610612738,BOS,24,18,6,0.75,268.0,123.0,122.1,103.4,104.4,19.6,17.7,0.703,2.71,21.5,0.214,0.733,0.491,0.111,0.614,0.638,100.8,100.6,83.84,560,0.579,38,19,17719,6106,17,5716,9233,5967,6173,1926,4943,8705,7752,9562,9321,5638,5959,11721,6498,804415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.3333333333333
Lineups,-202699-203501-1630595-1631093-1631105-,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Ivey - J. Duren,1610612765,DET,21,10,11,0.476,261.0,118.3,119.8,121.2,122.0,-2.8,-2.1,0.653,1.9,20.6,0.332,0.762,0.55,0.157,0.598,0.617,98.6,97.66,81.38,530,0.484,54,109,17941,9098,18,6115,11516,9522,7654,3764,5362,6603,6816,5916,11598,6120,6609,13168,8705,783685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.75
Lineups,-203924-1629014-1629028-1630166-1641739-,J. Grant - A. Simons - D. Ayton - D. Avdija - T. Camara,1610612757,POR,20,8,12,0.4,251.0,100.6,102.5,116.8,116.2,-16.3,-13.6,0.602,1.64,16.4,0.287,0.698,0.481,0.139,0.479,0.516,100.0,99.34,82.79,519,0.424,62,199,17950,9199,19,8083,10699,10531,8077,4138,8778,6984,8409,9693,10650,10036,9484,12338,9862,753030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.9166666666667
Lineups,-202696-203897-1629632-1630172-1630581-,N. Vučević - Z. LaVine - C. White - P. Williams - J. Giddey,1610612741,CHI,22,10,12,0.455,250.0,109.4,106.7,110.6,111.8,-1.2,-5.1,0.675,1.9,19.8,0.235,0.777,0.511,0.144,0.552,0.579,106.8,107.56,89.63,564,0.483,45,109,17950,9112,20,7768,10100,9745,6393,3766,6562,8442,6708,6803,11277,7226,7789,8081,8740,751060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.8333333333333
Lineups,-1629027-1630168-1630700-1631243-1642258-,T. Young - O. Okongwu - D. Daniels - M. Gueye - Z. Risacher,1610612737,ATL,25,11,14,0.44,248.0,115.4,117.2,108.8,109.4,6.6,7.9,0.711,2.03,21.9,0.306,0.739,0.512,0.158,0.576,0.596,108.3,107.19,89.33,551,0.53,34,85,17968,9142,21,6328,9740,6970,6137,2444,4812,6771,7721,6790,11604,6625,7244,8287,7568,743550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.6666666666667
Lineups,-1628378-1628386-1629622-1629636-1630596-,D. Mitchell - J. Allen - M. Strus - D. Garland - E. Mobley,1610612739,CLE,22,17,5,0.773,243.0,118.9,118.9,108.2,106.4,10.7,12.5,0.657,1.99,20.3,0.315,0.762,0.548,0.147,0.582,0.611,103.1,103.92,86.6,524,0.55,45,29,17546,6093,22,6172,9415,6536,7639,3747,5427,6668,6814,5974,11309,6523,6834,9872,7114,728850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.25
Lineups,-1628991-1629630-1630217-1641744-1642377-,J. Jackson Jr. - J. Morant - D. Bane - Z. Edey - J. Wells,1610612763,MEM,25,13,12,0.52,222.0,125.6,127.8,101.5,101.4,24.1,26.4,0.536,2.02,18.0,0.338,0.788,0.576,0.126,0.584,0.625,109.5,108.66,90.55,500,0.61,34,54,17950,7283,23,4885,9070,5175,9011,2446,7465,5311,6524,5175,10329,6331,6242,7588,5918,665250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.5
Lineups,-203468-1627749-1630529-1630530-1642274-,C. McCollum - D. Murray - H. Jones - T. Murphy III - Y. Missi,1610612740,NOP,13,2,11,0.154,221.0,113.0,112.6,120.9,120.1,-7.9,-7.5,0.617,1.64,18.4,0.306,0.693,0.49,0.158,0.551,0.589,101.6,102.16,85.13,469,0.451,187,1668,17941,10275,24,7004,11412,9937,7995,4144,7109,6770,8437,9568,11603,7232,7464,10890,9333,663225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.4166666666667
Lineups,-201942-203897-1627734-1631099-1631165-,D. DeRozan - Z. LaVine - D. Sabonis - K. Murray - K. Ellis,1610612758,SAC,16,9,7,0.563,220.0,112.8,112.6,113.0,113.5,-0.2,-0.9,0.61,2.13,19.7,0.191,0.753,0.485,0.126,0.574,0.598,97.4,97.31,81.09,445,0.512,104,148,17815,7232,25,7002,10324,9459,8059,2412,6567,9294,6859,9644,10328,6647,7209,13321,7914,658525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.3333333333333
Lineups,-202709-203484-1628976-1630532-1631094-,C. Joseph - K. Caldwell-Pope - W. Carter Jr. - F. Wagner - P. Banchero,1610612753,ORL,16,10,6,0.625,216.0,113.3,116.0,104.7,104.6,8.6,11.5,0.595,2.08,18.6,0.239,0.74,0.489,0.123,0.554,0.588,97.5,96.39,80.32,430,0.543,104,109,17719,6980,26,6603,9254,6588,8489,2436,7015,8403,7707,9580,9899,7199,7484,13738,7297,646880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0
Lineups,-203497-203944-1628978-1630162-1630183-,R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,1610612750,MIN,36,22,14,0.611,213.0,116.5,115.4,110.1,110.8,6.4,4.6,0.624,1.79,18.4,0.37,0.687,0.539,0.149,0.566,0.59,99.9,100.05,83.38,442,0.542,11,12,17968,7016,27,6637,9928,7241,7974,3875,7091,5101,8545,6178,11353,6882,7424,12022,7328,638305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.75
Lineups,-201939-202710-203110-1630541-1641764-,S. Curry - J. Butler III - D. Green - M. Moody - B. Podziemski,1610612744,GSW,21,17,4,0.81,211.0,122.7,120.6,103.0,104.2,19.7,16.4,0.779,2.45,22.8,0.26,0.762,0.512,0.134,0.592,0.635,103.5,103.88,86.57,462,0.607,54,29,17185,5981,28,5829,9218,6181,5024,2183,4329,7460,6815,6784,10555,6178,6034,9911,5974,634205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.5833333333333
Lineups,-1628398-1629673-1641731-1642259-1642267-,K. Kuzma - J. Poole - B. Coulibaly - A. Sarr - B. Carrington,1610612764,WAS,17,1,16,0.059,208.0,86.8,86.7,118.6,120.3,-31.8,-33.5,0.636,1.43,15.7,0.185,0.73,0.426,0.143,0.444,0.464,108.9,108.15,90.12,467,0.315,87,3268,17976,10303,29,11082,11414,12495,7810,4659,9008,9348,7792,11229,11276,10502,11465,7793,11806,623150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.3333333333333
Lineups,-201572-203081-203507-1627752-1628398-,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - K. Kuzma,1610612749,MIL,14,8,6,0.571,205.0,114.0,113.4,109.1,109.1,5.0,4.3,0.584,1.82,18.6,0.235,0.787,0.533,0.139,0.581,0.606,102.7,102.97,85.81,440,0.526,156,199,17719,7180,30,6940,9729,7266,8543,3842,7025,8444,6530,6409,10649,6531,6942,10348,7647,614645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.0833333333333
Lineups,-201942-1627734-1628370-1631099-1631165-,D. DeRozan - D. Sabonis - M. Monk - K. Murray - K. Ellis,1610612758,SAC,38,21,17,0.553,201.0,120.9,119.3,104.8,102.2,16.1,17.1,0.658,2.67,20.5,0.299,0.719,0.519,0.11,0.562,0.6,97.4,99.3,82.75,419,0.593,7,14,17979,7254,31,6131,9097,6005,7634,1927,5395,6915,7938,6688,9317,7038,7075,12469,6276,602535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.75
Lineups,-202699-203501-1627736-1630595-1631105-,T. Harris - T. Hardaway Jr. - M. Beasley - C. Cunningham - J. Duren,1610612765,DET,50,27,23,0.54,200.0,117.5,112.6,120.0,116.1,-2.4,-3.5,0.597,1.64,17.9,0.23,0.77,0.505,0.146,0.585,0.633,103.8,107.87,89.89,453,0.493,3,4,17986,7267,32,7003,10690,9620,8485,4139,7496,8493,6734,6846,11290,6324,6091,7955,8542,601380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.6666666666667
Lineups,-2544-203076-1629060-1630559-1631108-,L. James - A. Davis - R. Hachimura - A. Reaves - M. Christie,1610612747,LAL,17,9,8,0.529,199.0,109.4,107.4,106.3,106.3,3.1,1.1,0.672,1.75,19.6,0.253,0.776,0.521,0.156,0.55,0.583,102.5,103.43,86.19,430,0.532,87,148,17859,7278,33,7696,9411,7478,6399,3944,6593,7489,6709,6668,11581,7238,7631,10178,7528,595890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.5833333333333
Lineups,-1628378-1628386-1629636-1629731-1630596-,D. Mitchell - J. Allen - D. Garland - D. Wade - E. Mobley,1610612739,CLE,21,18,3,0.857,197.0,120.4,120.1,110.9,112.4,9.5,7.7,0.63,2.43,20.7,0.232,0.705,0.479,0.119,0.592,0.617,101.6,101.08,84.23,413,0.536,54,19,16438,5889,34,5841,10132,6992,7842,2195,5352,8452,8275,9721,9826,6181,6607,11439,7433,591925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.4166666666667
Lineups,-201942-203897-1627734-1628370-1631099-,D. DeRozan - Z. LaVine - D. Sabonis - M. Monk - K. Murray,1610612758,SAC,15,7,8,0.467,196.0,113.6,114.6,125.4,123.0,-11.9,-8.4,0.612,1.81,18.7,0.313,0.784,0.549,0.146,0.56,0.593,102.2,102.73,85.61,425,0.463,131,243,17859,9100,36,6724,11631,10050,8042,3854,7005,6671,6572,5960,11296,7051,7354,10663,9100,587305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.3333333333333
Lineups,-1628374-1628381-1629012-1631117-1641718-,L. Markkanen - J. Collins - C. Sexton - W. Kessler - K. George,1610612762,UTA,14,4,10,0.286,196.0,125.4,123.5,118.5,116.1,6.9,7.4,0.63,1.53,19.3,0.407,0.796,0.611,0.184,0.615,0.646,98.7,100.4,83.67,412,0.532,156,634,17923,9934,35,5515,10698,7010,7838,4238,6672,4435,6484,4250,12781,5636,5703,11851,7523,588745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.3333333333333
Lineups,-201935-202695-1626181-1627826-1627884-,J. Harden - K. Leonard - N. Powell - I. Zubac - D. Jones Jr.,1610612746,LAC,20,15,5,0.75,193.0,125.1,124.8,103.1,102.9,21.9,21.8,0.659,2.76,22.4,0.291,0.827,0.57,0.118,0.609,0.632,102.9,103.11,85.92,416,0.612,62,39,17546,6106,37,5452,9124,5610,7627,1900,4426,6968,5864,5515,9823,5738,6110,10315,5894,578195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.0833333333333
Lineups,-202710-1628389-1629130-1629312-1629639-,J. Butler III - B. Adebayo - D. Robinson - H. Highsmith - T. Herro,1610612748,MIA,17,10,7,0.588,189.0,116.7,118.4,113.7,114.0,3.0,4.4,0.737,2.57,22.7,0.279,0.815,0.543,0.129,0.582,0.604,97.3,96.41,80.34,380,0.516,87,109,17815,7172,38,6209,10371,7256,5790,1997,4371,7250,5963,6137,10374,6524,7004,13730,7821,566850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.75
Lineups,-201572-203081-203507-1627752-1629018-,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - G. Trent Jr.,1610612749,MIL,30,18,12,0.6,188.0,122.9,118.5,118.6,117.7,4.3,0.9,0.634,2.48,19.5,0.15,0.722,0.452,0.104,0.606,0.646,100.9,103.15,85.96,405,0.508,15,19,17950,7021,40,6204,11005,7491,7811,2178,6626,9798,7923,10387,9194,5786,5704,10302,7987,563315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.66666666666663
Lineups,-203944-1628978-1629638-1629675-1630162-,J. Randle - D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,1610612750,MIN,51,31,20,0.608,188.0,126.2,124.1,116.6,112.5,9.5,11.7,0.606,2.6,19.6,0.273,0.654,0.468,0.106,0.623,0.647,99.3,101.94,84.95,398,0.538,2,2,17985,7020,39,5481,10133,6582,8070,1994,6592,7286,9990,9945,9263,5542,5684,11012,7406,564315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.66666666666663
Lineups,-203484-1628976-1630175-1630532-1631094-,K. Caldwell-Pope - W. Carter Jr. - C. Anthony - F. Wagner - P. Banchero,1610612753,ORL,16,7,9,0.438,187.0,114.7,115.8,103.5,103.7,11.2,12.1,0.545,1.84,17.1,0.299,0.714,0.504,0.129,0.538,0.577,97.7,97.2,81.0,380,0.552,104,243,17894,9143,41,6614,9183,6558,8929,3818,7819,6916,7953,6851,10374,7541,7833,13385,7080,560725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.58333333333337
Lineups,-1626157-1628384-1628404-1628969-1630540-,K. Towns - O. Anunoby - J. Hart - M. Bridges - M. McBride,1610612752,NYK,21,14,7,0.667,185.0,115.1,114.7,111.8,110.6,3.4,4.1,0.706,3.19,20.9,0.317,0.668,0.488,0.096,0.531,0.559,96.6,97.26,81.05,374,0.527,54,45,17815,6411,42,6719,9911,7279,6167,1153,5247,6645,8628,9587,8815,7662,8426,13364,7614,555970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.41666666666663
Lineups,-201942-1627734-1628368-1628989-1631099-,D. DeRozan - D. Sabonis - D. Fox - K. Huerter - K. Murray,1610612758,SAC,16,7,9,0.438,184.0,113.6,115.0,105.1,105.5,8.5,9.5,0.61,1.88,19.8,0.244,0.721,0.508,0.145,0.579,0.61,101.5,100.71,83.93,387,0.559,104,243,17894,9143,43,6707,9306,6813,8058,3788,6554,8378,7925,6829,11283,6570,6843,11648,6936,551190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.33333333333337
Lineups,-101108-203084-1630577-1641705-1642264-,C. Paul - H. Barnes - J. Champagnie - V. Wembanyama - S. Castle,1610612759,SAS,21,11,10,0.524,177.0,122.9,124.8,113.2,112.2,9.8,12.6,0.713,2.6,21.5,0.246,0.746,0.503,0.117,0.599,0.635,99.2,98.87,82.39,367,0.559,54,85,17923,7282,44,5451,10122,6500,6132,1981,4941,8374,7680,6856,9729,6114,6025,12619,6937,530150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.75
Lineups,-201935-1627739-1627826-1627884-1629599-,J. Harden - K. Dunn - I. Zubac - D. Jones Jr. - A. Coffey,1610612746,LAC,22,13,9,0.591,175.0,107.3,106.7,107.8,108.2,-0.4,-1.5,0.646,1.53,18.9,0.304,0.778,0.54,0.174,0.539,0.567,97.2,97.24,81.04,357,0.492,45,54,17894,7168,45,7770,9589,9481,7703,4236,6870,6786,6591,6171,12459,7502,8200,13369,8565,526425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.58333333333337
Lineups,-201935-1626181-1627826-1627884-1629611-,J. Harden - N. Powell - I. Zubac - D. Jones Jr. - T. Mann,1610612746,LAC,13,8,5,0.615,169.0,111.0,110.6,119.6,120.5,-8.6,-9.9,0.721,1.85,19.7,0.331,0.799,0.542,0.155,0.511,0.558,97.1,96.93,80.78,341,0.457,187,199,17546,7006,46,7316,11417,10158,5915,3813,6568,6604,6480,6146,11577,7900,8438,13503,9212,507325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.08333333333337
Lineups,-203999-1627750-1629008-1631128-1631212-,N. Jokić - J. Murray - M. Porter Jr. - C. Braun - P. Watson,1610612743,DEN,14,9,5,0.643,168.0,131.3,128.4,115.5,114.2,15.8,14.2,0.747,3.25,25.0,0.319,0.733,0.547,0.116,0.634,0.653,96.8,98.47,82.06,345,0.572,156,148,17546,6957,47,4867,10382,6391,5775,1132,3828,6629,7780,5985,9719,5104,5603,12809,6614,505255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0
Lineups,-1628392-1628983-1629652-1631096-1631114-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams,1610612760,OKC,14,10,4,0.714,167.0,125.3,126.2,111.9,111.2,13.4,15.0,0.571,2.12,20.1,0.312,0.744,0.545,0.134,0.621,0.646,104.9,104.83,87.36,366,0.581,156,109,17185,6328,48,5006,10050,6287,8623,2419,5450,6699,7688,6130,10553,5552,5706,9393,6475,502085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.91666666666663
Lineups,-1627751-1629628-1630534-1630558-1641711-,J. Poeltl - R. Barrett - O. Agbaji - D. Mitchell - G. Dick,1610612761,TOR,14,3,11,0.214,167.0,114.5,116.7,112.7,113.1,1.9,3.6,0.606,2.54,18.8,0.306,0.695,0.497,0.105,0.532,0.566,103.6,102.46,85.38,353,0.505,156,994,17941,10160,49,6354,10289,7304,8067,2007,6890,6772,8430,9525,9203,7638,8217,10752,8026,500340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.91666666666663
